Reference period,Rent 4
Jan-00,96
Feb-00,96.1
Mar-00,96.2
Apr-00,96.3
May-00,96.4
Jun-00,96.5
Jul-00,96.6
Aug-00,96.7
Sep-00,96.8
Oct-00,96.9
Nov-00,97.1
Dec-00,97.2
Jan-01,97.3
Feb-01,97.4
Mar-01,97.6
Apr-01,97.7
May-01,97.8
Jun-01,98
Jul-01,98.1
Aug-01,98.4
Sep-01,98.5
Oct-01,98.7
Nov-01,98.9
Dec-01,99
Jan-02,99.1
Feb-02,99.3
Mar-02,99.4
Apr-02,99.5
May-02,99.7
Jun-02,99.9
Jul-02,100
Aug-02,100.3
Sep-02,100.5
Oct-02,100.7
Nov-02,100.8
Dec-02,100.9
Jan-03,101
Feb-03,101
Mar-03,101.1
Apr-03,101.2
May-03,101.3
Jun-03,101.3
Jul-03,101.4
Aug-03,101.7
Sep-03,101.8
Oct-03,101.9
Nov-03,102
Dec-03,102.1
Jan-04,102.1
Feb-04,102.2
Mar-04,102.2
Apr-04,102.3
May-04,102.3
Jun-04,102.4
Jul-04,102.5
Aug-04,102.7
Sep-04,102.7
Oct-04,102.8
Nov-04,102.9
Dec-04,103
Jan-05,103
Feb-05,103.1
Mar-05,103.1
Apr-05,103.1
May-05,103.2
Jun-05,103.2
Jul-05,103.3
Aug-05,103.5
Sep-05,103.6
Oct-05,103.6
Nov-05,103.7
Dec-05,103.7
Jan-06,103.8
Feb-06,103.9
Mar-06,103.9
Apr-06,104
May-06,104.1
Jun-06,104.2
Jul-06,104.3
Aug-06,104.5
Sep-06,104.6
Oct-06,104.8
Nov-06,104.9
Dec-06,105
Jan-07,105.1
Feb-07,105.2
Mar-07,105.4
Apr-07,105.5
May-07,105.6
Jun-07,105.8
Jul-07,106
Aug-07,106.3
Sep-07,106.4
Oct-07,106.6
Nov-07,106.7
Dec-07,106.9
Jan-08,107
Feb-08,107.2
Mar-08,107.3
Apr-08,107.4
May-08,107.6
Jun-08,107.7
Jul-08,107.9
Aug-08,108.1
Sep-08,108.2
Oct-08,108.4
Nov-08,108.6
Dec-08,108.7
Jan-09,108.8
Feb-09,108.9
Mar-09,109
Apr-09,109.1
May-09,109.2
Jun-09,109.3
Jul-09,109.4
Aug-09,109.7
Sep-09,109.8
Oct-09,110
Nov-09,110.1
Dec-09,110.2
Jan-10,110.3
Feb-10,110.3
Mar-10,110.4
Apr-10,110.5
May-10,110.6
Jun-10,110.7
Jul-10,110.8
Aug-10,111
Sep-10,111.1
Oct-10,111.3
Nov-10,111.4
Dec-10,111.5
Jan-11,111.5
Feb-11,111.6
Mar-11,111.7
Apr-11,111.8
May-11,111.9
Jun-11,111.9
Jul-11,112
Aug-11,112.2
Sep-11,112.3
Oct-11,112.5
Nov-11,112.6
Dec-11,112.7
Jan-12,112.8
Feb-12,113
Mar-12,113.1
Apr-12,113.2
May-12,113.3
Jun-12,113.4
Jul-12,113.5
Aug-12,113.8
Sep-12,114
Oct-12,114.2
Nov-12,114.3
Dec-12,114.5
Jan-13,114.6
Feb-13,114.8
Mar-13,114.9
Apr-13,115
May-13,115.1
Jun-13,115.3
Jul-13,115.4
Aug-13,115.7
Sep-13,115.8
Oct-13,116
Nov-13,116.2
Dec-13,116.3
Jan-14,116.4
Feb-14,116.5
Mar-14,116.6
Apr-14,116.7
May-14,116.8
Jun-14,117
Jul-14,117.1
Aug-14,117.3
Sep-14,117.5
Oct-14,117.7
Nov-14,117.8
Dec-14,117.9
Jan-15,117.9
Feb-15,118.1
Mar-15,118.2
Apr-15,118.3
May-15,118.3
Jun-15,118.4
Jul-15,118.5
Aug-15,118.6
Sep-15,118.7
Oct-15,118.8
Nov-15,118.8
Dec-15,118.9
Jan-16,118.9
Feb-16,119
Mar-16,119
Apr-16,119
May-16,119.1
Jun-16,119.1
Jul-16,119.1
Aug-16,119.3
Sep-16,119.3
Oct-16,119.4
Nov-16,119.4
Dec-16,119.5
Jan-17,119.5
Feb-17,119.6
Mar-17,119.7
Apr-17,119.7
May-17,119.8
Jun-17,119.9
Jul-17,119.9
Aug-17,120
Sep-17,120.1
Oct-17,120.2
Nov-17,120.3
Dec-17,120.4
Jan-18,120.5
Feb-18,120.7
Mar-18,120.8
Apr-18,120.9
May-18,121.1
Jun-18,121.2
Jul-18,121.3
Aug-18,121.6
Sep-18,121.7
Oct-18,121.8
Nov-18,122
Dec-18,122.1
Jan-19,123.2
Feb-19,123.7
Mar-19,124.1
Apr-19,123.6
May-19,123.7
Jun-19,124.1
Jul-19,124.4
Aug-19,125.3
Sep-19,125.3
Oct-19,126.3
Nov-19,125.8
Dec-19,126.3
